Métricas de Desempenho,Dados de Treino e Validação,Dados de Teste
Accuracy,0.7987525753283544,0.8027210884353742
Precision,0.4164986953938361,0.41379310344827586
Recall,0.7855345911949686,0.7164179104477612
ROC AUC,0.878944256302747,0.8724958097214462
Average Precision,0.607112661304353,0.621855074956303
