Métricas de Desempenho,Dados de Treino e Validação,Dados de Teste
Accuracy,0.7896922482616533,0.7619047619047619
Precision,0.4000908109645973,0.3582089552238806
Recall,0.7819706498951782,0.7164179104477612
ROC AUC,0.8755250532289087,0.8531207598371777
Average Precision,0.6290397632280329,0.5782171000653704
